odt|application/vnd.oasis.opendocument.text
ott|application/vnd.oasis.opendocument.text-template
sxw|application/vnd.sun.xml.writer
fodt|text/xml
docx|application/vnd.openxmlformats-officedocument.wordprocessingml.document
dotx|application/vnd.openxmlformats-officedocument.wordprocessingml.template
docm|application/vnd.ms-word.document.macroEnabled.12
dotm|application/vnd.ms-word.template.macroEnabled.12
wps|application/vnd.ms-works
hwp|application/x-hwp
doc|application/msword
dot|application/msword
html|text/html
htm|text/html
lwp|application/vnd.lotus-wordpro
rtf|application/rtf
txt|text/plain
wpd|application/vnd.wordperfect
abw|application/abiword
zabw|application/abiword-compressed
